MARCA,MODELO,SISTEMA,VERS_SISTEMA
Apple,iPhone 14,iOS,18.3
Apple,iPhone 14,iOS,18.4
Apple,iPhone 14,iOS,17.6.2001
Apple,iPhone 14,iOS,18
Apple,iPhone 14,iOS,16.6
Apple,iPhone 14,iOS,18.3.2002
Apple,iPhone 14,iOS,16.0.2
Apple,iPhone 14,iOS,17.5.2001
Apple,iPhone 14,iOS,18.3.2001
Apple,iPhone 14,iOS,18.2
Apple,iPhone 14,iOS,16.1
Apple,iPhone 14,iOS,16.5.2001
Apple,iPhone 14,iOS,18.2.2001
Apple,iPhone 14,iOS,18.1
Apple,iPhone 14,iOS,18.0.1
Apple,iPhone 14 Plus,iOS,18.2
Apple,iPhone 14 Plus,iOS,18.3.2001
Apple,iPhone 14 Plus,iOS,18.4.2001
Apple,iPhone 14 Plus,iOS,18
Apple,iPhone 14 Plus,iOS,18.3.2002
Apple,iPhone 14 Plus,iOS,18.4
Apple,iPhone 14 Plus,iOS,17.5.2001
Apple,iPhone 14 Plus,iOS,18.2.2001
Apple,iPhone 14 Plus,iOS,17.6.2001
Apple,iPhone 14 Plus,iOS,18.0.1
Apple,iPhone 14 Plus,iOS,18.1.2001
Apple,iPhone 14 Pro,iOS,17.1
Apple,iPhone 14 Pro,iOS,18
Apple,iPhone 14 Pro,iOS,18.0.1
Apple,iPhone 14 Pro,iOS,17.6.2001
Apple,iPhone 14 Pro,iOS,18.2.2001
Apple,iPhone 14 Pro,iOS,18.5
Apple,iPhone 14 Pro,iOS,18.3.2001
Apple,iPhone 14 Pro,iOS,18.3.2002
Apple,iPhone 14 Pro,iOS,18.1
Apple,iPhone 14 Pro,iOS,18.4.2001
Apple,iPhone 14 Pro,iOS,16.6.2001
Apple,iPhone 14 Pro,iOS,17.5.2001
Apple,iPhone 14 Pro,iOS,16.5.2001
Apple,iPhone 14 Pro,iOS,18.4
Apple,iPhone 14 Pro,iOS,17.7
Apple,iPhone 14 Pro,iOS,18.2
