MARCA,MODELO,VERS_SISTEMA
Apple,iPhone 13,16.0.3
Apple,iPhone 13,16.6
Apple,iPhone 13,17.2
Apple,iPhone 13,15.4
Apple,iPhone 13,15.5
Apple,iPhone 13,18.1.1
Apple,iPhone 13,18.2
Apple,iPhone 13,17.6
Apple,iPhone 13,18.3.2
Apple,iPhone 13,17.2.1
Apple,iPhone 13,16.7
Apple,iPhone 13,17.5.1
Apple,iPhone 13,17.0.2
Apple,iPhone 13,16.3
Apple,iPhone 13,16.3.1
Apple,iPhone 13,16.1
Apple,iPhone 13,16.4.1
Apple,iPhone 13 Pro,18.2
Apple,iPhone 13 Pro,18.4
Apple,iPhone 13 Pro,18.3.1
Apple,iPhone 13 Pro,16.5.1
Apple,iPhone 13 Pro,18.3
Apple,iPhone 13 Pro,17.0.1
Apple,iPhone 13 Pro,17.7
Apple,iPhone 13 Pro,17.0.2
Apple,iPhone 13 Pro,15.5
Apple,iPhone 13 Pro,16.7.2
Apple,iPhone 13 Pro,17.3
Apple,iPhone 13 Pro,17.6.1
Apple,iPhone 13 Pro,16.1.1
Apple,iPhone 13 Pro,17.5.1
Apple,iPhone 13 Pro,18.2.1
Apple,iPhone 13 Pro,16.6.1
Apple,iPhone 13 Pro,16.1
Apple,iPhone 13 Pro,18.5
Apple,iPhone 13 Pro,16.1.2
Apple,iPhone 13 Pro,18
Apple,iPhone 13 Pro,17.6
Apple,iPhone 13 Pro,17.1.1
Apple,iPhone 13 Pro,17.4
Apple,iPhone 13 Pro,17.2.1
Apple,iPhone 13 Pro,16.3.1
Apple,iPhone 13 Pro,17.4.1
Apple,iPhone 13 Pro,16
Apple,iPhone 13 Pro,18.1.1
Apple,iPhone 13 Pro,16.2
Apple,iPhone 13 Pro,17.7.2
Apple,iPhone 13 Pro,18.1
Apple,iPhone 13 Pro,17.3.1
Apple,iPhone 13 Pro,18.3.2
Apple,iPhone 13 Pro,17.5
Apple,iPhone 13 Pro,17.7.1
Apple,iPhone 13 Pro,16.6
Apple,iPhone 13 Pro,18.0.1
Apple,iPhone 13 Pro,16.0.2
Apple,iPhone 13 Pro,16.0.3
Apple,iPhone 13 Pro,17.1.2
Apple,iPhone 13 Pro,17.1
Apple,iPhone 13 Pro Max,18.2
Apple,iPhone 13 Pro Max,17.5.1
Apple,iPhone 13 Pro Max,17.4
Apple,iPhone 13 Pro Max,18.1.1
Apple,iPhone 13 Pro Max,17.2
Apple,iPhone 13 Pro Max,16.1.1
Apple,iPhone 13 Pro Max,17.1.2
Apple,iPhone 13 Pro Max,17.6.1
Apple,iPhone 13 Pro Max,18
Apple,iPhone 13 Pro Max,18.3.2
Apple,iPhone 13 Pro Max,17.6
Apple,iPhone 13 Pro Max,17.5
Apple,iPhone 13 Pro Max,16.7.2
Apple,iPhone 13 Pro Max,16.2
Apple,iPhone 13 Pro Max,16.7.1
Apple,iPhone 13 Pro Max,17.4.1
Apple,iPhone 13 Pro Max,16.1
Apple,iPhone 13 Pro Max,18.3
Apple,iPhone 13 Pro Max,17.7
Apple,iPhone 13 Pro Max,15.5
Apple,iPhone 13 Pro Max,18.1
Apple,iPhone 13 Pro Max,16.3.1
Apple,iPhone 13 Pro Max,17.7.2
Apple,iPhone 13 Pro Max,16.3
Apple,iPhone 13 Pro Max,17.0.3
Apple,iPhone 13 Pro Max,17.3.1
Apple,iPhone 13 Pro Max,16.6
Apple,iPhone 13 Pro Max,16.6.1
Apple,iPhone 13 Pro Max,16.0.3
Apple,iPhone 13 Pro Max,18.0.1
Apple,iPhone 13 Pro Max,18.3.1
Apple,iPhone 13 Pro Max,18.2.1
Apple,iPhone 13 Pro Max,16.1.2
Apple,iPhone 13 Pro Max,16
Apple,iPhone 13 Pro Max,17.2.1
Apple,iPhone 13 Pro Max,15.6.1
Apple,iPhone 13 Pro Max,15.4.1
Apple,iPhone 13 Pro Max,17.1
Apple,iPhone 13 mini,16.0.2
Apple,iPhone 13 mini,17.5.1
Apple,iPhone 13 mini,18.1.1
Apple,iPhone 13 mini,16
Apple,iPhone 13 mini,17.6
Apple,iPhone 13 mini,16.1.1
Apple,iPhone 13 mini,16.6
Apple,iPhone 13 mini,18.2
